Carimbo de data/hora,"Quando não há documentação, como novos membros da equipe ou colaboradores externos são integrados ao projeto?",O que ocasionou a ausência de documentação e quais os impactos disso na equipe?,"Se pudesse mudar algo na forma como a documentação é produzida, organizada ou acessada, o que seria mais importante pra você?"
10/12/2024 14:22:50,Através de treinamento ,"Atraso na entrega final do projeto. A equipe tem mais trabalho, pois precisa pesquisar informações que deveriam estar em um único documento.",Mais clareza e objetividade nas informações 
10/12/2024 14:26:58,"Com a inexistência ou ineficácia de documentação, é realizado uma reunião de passagem de conhecimento com a pessoa que mais domina aquele projeto, com quem deve ser integrado","Pode ocasionar pela falta de processos definidos pela gestão, que trata o tal assunto com irrelevancia ou perda de tempo.
Prazos curtos de entrega tem o seu mesmo papel na não priorização do assunto acabando sendo deixado como débito de entrega","Hoje temos diversas tecnologias que auxiliam na criação de documentação, como deixar mais visual possível, criando ilustrações como IAM e desenhos de arquitetura e outras ferramentas que fazem extração do código para um fácil entendimento, sem que o leitor tenha conhecimento técnico caso seja o interesse e o público alvo.
Porém vejo que o ""como"" não é o que acaba resultando na inexistência ou na baixa qualidade das documentações e sim a real importância para o projeto. Como facilitar novas contratações de funcionários, futuras entregas com prazo reduzido, qualidade de entrega, etc..."
10/12/2024 17:46:36,Através de ajuda dos que já estão a mais tempo no projeto.,"Talvez o tempo de ir lá e meio que refazer o que já tinha sido feito, costumamos deixa pra lá por não achar ser tão importante.","Uma espécie de pesquisa, com ajuda de alguma IA, encaminhando para onde está a dúvida."
11/12/2024 20:50:24,É consumido tempo extra de outro funcionário para explicar o funcionamento e inteirá-lo ao projeto em questão.,"Geralmente acontece quando necessita-se de mais agilidade na entrega do projeto, porém ocasiona numa dificuldade maior em dar manutenção posteriormente",¯\_(ツ)_/¯
17/12/2024 19:47:14,"Com reuniões de integração, normalmente o profissional deixa de lado suas atividades para integrar novos membros da equipe.","Curtos prazos, ou pressão para entrega. Foco na entrega, ao invés do processo.","Criar a documentação no levantamento de requisitos do projeto, e incrementar a mesma conforme necessário (mudanças de escopo e etc)."
17/12/2024 19:55:40,"Quando há tempo / disponibilidade, através de reuniões onde o produto é apresentado de forma técnica, geralmente por tech leads ou seniores","Acredito que o ato de documentar, numa escala de criticidade real (mesmo que no conceito seja tão importante quanto desenvolver) tenha um valor menor que o resultante da entrega de uma feature/versão do produto.
Com isso, para novos membros da equipe fica mais demorado para começar a realmente conhecer o sistema e entender quais impactos suas alterações podem causar, caso não haja um processo de análise por alguém mais experiente. ","Ter (se possível e de acordo com a realidade da equipe envolvida), como requisito de entrega uma documentação descrevendo o que foi feito tecnicamente. Assim, de forma iterativa, seria mais fácil para no futuro, se necessário, retomar à determinados pontos do código e entender como mais facilidade, agilizando também os ajustes e novas implementações necessárias."
17/12/2024 19:57:22,Depende de uma pessoa dedicada a passar o conhecimento ,"Muitas vezes a não documentação é falta fe planejamento ou tempo, muitas vezes não são priorizadas por conta da ""correria"" do dia a dia e demandas que surjem durante a sprint. O impacto é falta de conhecimento sa equipe. Ou conhecimento concentrado apenas na pessoa que  executa aquela tarefa. ","Creio que seja necessário estar no dod a parte de documentação, e na mensuração do tempo gasto nas tarefas sempre considerar o tempo para documentação. E acho que quanto mais fácil e simples a ferramenta de documentação, mais documentação serão escritas "
17/12/2024 20:05:12,"Nesse caso, é necessário que o compartilhamento seja feito através de conversas/reuniões com os integrantes da equipe que detém o conhecimento, dessa forma, é possível que os novos integrantes tenham acesso as informações. ","Na empresa em que trabalho pude notar dois cenários: devido a inúmeras aquisições de outras empresas, muitas documentações são perdidas e os conhecimentos ficam canalizados apenas nos funcionários. 
Além disso, pude observar também que o excesso de sobrecarga sobre os funcionários no dia a dia impede que eles consigam propagar esses conhecimentos através da elaboração de alguma documentação dos processos que executam. 
Devido a isso, o acesso a informação fica restrito a necessidade de contato com as pessoas que detém o conhecimento e quando não é possível acessá-las, os maiores impactados são os nossos clientes finais. ","Ao meu ver, o mais importante seria todos os integrantes da equipe terem consigo a importância que é ter um processo documentado e como isso influencia para que o produto que oferecemos seja entregue e mantido com qualidade.
Uma vez que todos detém esse conhecimento, o processo de documentação passa a ser uma prioridade e função importante de ser produzida no nosso dia a dia. "
17/12/2024 21:07:06,Muitas vezes recorrem a membros com mais tempo de casa e com um now how do projeto ,Falta de tempo por excesso de trabalho e preguiça da galera mesmo ,"Acredito que antes de definição de projeto a documentação seja um ""entregável"" assim como uma funcionalidade,as documentações na maioria das empresas não é levada a serio da forma que deveria "
17/12/2024 22:18:21,"Com reuniões, onbording ",Não considerar como um entregável importante e imprescindível durante o desenvolvimento ,Considerar como entrega totalmente relevante ao projeto e considerar o tempo para que seja feita como uma atividade do projeto 
18/12/2024 07:40:17,Algum membro da equipe tem que parar suas atividades para ensinar sobre os projetos.,"Dia a dia corrido, não conseguindo priorizar a documentação. Os impactos são membros da equipe sem total conhecimento dos projetos e processos.","A produção da documentação precisa ser real time conforme os projetos mudam, se deixarmos para priorizar em algum dia, vai passar muito tempo."
19/12/2024 09:41:10,Outros colaboradores ajudam e passam conhecimento,"Hábito de documentar, na minha visão é uma tarefa que a maioria dos desenvolvedores não gosta de fazer e no dia-a-dia acaba sempre sendo despriorizada","Acredito que as IAs vão evoluir pra ajudar a gente nesse processo, entendo que a documentação tem que ser algo natural, que flui com andamento do trabalho, talvez a gente tenha um agente treinado pra acompanhar nossos projetos, etc.
Sobre a organização acredito que essa base pudesse ser acessada também via prompt de forma fácil como se estivéssemos perguntando a alguém."
19/12/2024 09:55:36,"Passagem de conhecimento um pra um, tendo que revezar ja que sempre uns sabem mais de certos fluxos que outros","Demora maior na ambientação de desenvolvedores, confusão no desenvolvimento, mais duvidas, centralização de conhecimento",Algum tipo de automação seria o ideal para diminuir a carga da produção de documentação 
19/12/2024 11:47:58,Durante execução das tarefas ou acompanhando a execução,"Falta de tempo, porem o tempo para realizar onboarding de novos membros ou consulta de solucoes antigas onera mais o time",Criar um indice central das documentacoes
